Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_WelcomePage,Chrome 116.0.0.0,,,2023-08-28 13:14:47,2023-08-28 13:14:54,6.477s,PASSED
,,,,,,,
Test Cases/PetStore2_WelcomePage/Verify_WelcomePage,Chrome 116.0.0.0,,,2023-08-28 13:14:48,2023-08-28 13:14:54,6.236s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:14:48,2023-08-28 13:14:51,2.968s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:14:51,2023-08-28 13:14:52,0.677s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/h2_Welcome to JPetStore 6""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:14:52,2023-08-28 13:14:52,0.375s,PASSED
"verifyElementText(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/sub_Copyright www.mybatis.org""), ""Copyright www.mybatis.org"")",Chrome 116.0.0.0,,,2023-08-28 13:14:52,2023-08-28 13:14:53,0.400s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:14:53,2023-08-28 13:14:53,0.369s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:14:53,2023-08-28 13:14:53,0.377s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:14:53,2023-08-28 13:14:54,0.679s,PASSED
