Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_WelcomePage,Chrome 116.0.0.0,,,2023-08-25 12:31:14,2023-08-25 12:31:22,7.215s,PASSED
,,,,,,,
Test Cases/PetStore2_WelcomePage/Verify_WelcomePage,Chrome 116.0.0.0,,,2023-08-25 12:31:15,2023-08-25 12:31:22,6.916s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-25 12:31:15,2023-08-25 12:31:18,2.624s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-25 12:31:18,2023-08-25 12:31:19,0.753s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/h2_Welcome to JPetStore 6""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:31:19,2023-08-25 12:31:19,0.583s,PASSED
"verifyElementText(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/sub_Copyright www.mybatis.org""), ""Copyright www.mybatis.org"")",Chrome 116.0.0.0,,,2023-08-25 12:31:19,2023-08-25 12:31:20,0.567s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:31:20,2023-08-25 12:31:20,0.450s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/WelcomePage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:31:20,2023-08-25 12:31:21,0.450s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-25 12:31:21,2023-08-25 12:31:22,0.904s,PASSED
