Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_HomePage,Chrome 116.0.0.0,,,2023-08-25 12:33:52,2023-08-25 12:34:03,10.785s,PASSED
,,,,,,,
Test Cases/PetStore2_HomePage/Verify_HomePage,Chrome 116.0.0.0,,,2023-08-25 12:33:52,2023-08-25 12:34:03,10.355s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-25 12:33:53,2023-08-25 12:33:56,2.812s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-25 12:33:56,2023-08-25 12:33:56,0.782s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:33:56,2023-08-25 12:33:57,0.587s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-25 12:33:57,2023-08-25 12:33:58,1.157s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Sign In""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:33:58,2023-08-25 12:33:59,0.519s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Sign In""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:33:59,2023-08-25 12:33:59,0.494s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:33:59,2023-08-25 12:34:00,0.484s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:34:00,2023-08-25 12:34:00,0.404s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1_2""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:34:00,2023-08-25 12:34:01,0.384s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1_2_3""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:34:01,2023-08-25 12:34:01,0.496s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1_2_3_4""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:34:01,2023-08-25 12:34:01,0.487s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/input__searchProducts""), 0)",Chrome 116.0.0.0,,,2023-08-25 12:34:01,2023-08-25 12:34:02,0.440s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-25 12:34:02,2023-08-25 12:34:03,0.779s,PASSED
