Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSHomeNew,Chrome 116.0.0.0,,,2023-08-28 13:19:45,2023-08-28 13:19:58,13.297s,PASSED
,,,,,,,
Test Cases/PetStore2_HomePage/Verify_HomePage,Chrome 116.0.0.0,,,2023-08-28 13:19:46,2023-08-28 13:19:58,12.675s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 13:19:46,2023-08-28 13:19:51,4.528s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 13:19:51,2023-08-28 13:19:52,1.498s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:52,2023-08-28 13:19:53,0.535s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 13:19:53,2023-08-28 13:19:54,1.130s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Sign In""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:54,2023-08-28 13:19:54,0.473s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/a_Sign In""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:54,2023-08-28 13:19:55,0.412s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:55,2023-08-28 13:19:55,0.440s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:55,2023-08-28 13:19:56,0.432s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1_2""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:56,2023-08-28 13:19:56,0.430s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1_2_3""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:56,2023-08-28 13:19:57,0.446s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/img_1_2_3_4""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:57,2023-08-28 13:19:57,0.450s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/HomePage/Page_JPetStore Demo/input__searchProducts""), 0)",Chrome 116.0.0.0,,,2023-08-28 13:19:57,2023-08-28 13:19:57,0.441s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 13:19:57,2023-08-28 13:19:58,0.746s,PASSED
